no_instances,no_benders_iteration
0,0
1,3
2,5
3,6
4,6
5,6
6,7
7,7
8,7
9,8
10,8
11,8
12,8
13,9
14,9
15,9
16,9
17,9
18,9
19,9
20,9
21,9
22,9
23,10
24,10
25,10
26,10
27,10
28,10
29,10
30,10
31,10
32,10
33,10
34,10
35,11
36,11
37,11
38,11
39,11
40,12
41,12
42,12
43,13
44,13
45,13
46,13
47,13
48,13
49,13
50,13
51,13
52,13
53,14
54,14
55,14
56,14
57,14
58,14
59,14
60,14
61,14
62,15
63,15
64,15
65,16
66,16
67,16
68,17
69,17
70,17
71,17
72,17
73,17
74,18
75,18
76,18
77,18
78,18
79,18
80,19
81,20
82,20
83,20
84,20
85,21
86,22
87,22
88,22
89,22
90,23
91,24
92,24
93,25
94,25
95,26
96,28
97,28
98,28
99,33
100,45
100,46
