no_instances,no_subproblems_performed
0,0
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,6
35,6
36,6
37,6
38,7
39,8
40,9
41,9
42,9
43,9
44,9
45,9
46,9
47,9
48,9
49,10
50,10
51,10
52,10
53,11
54,12
55,13
56,13
57,13
58,13
59,13
60,14
61,14
62,14
63,14
64,14
65,14
66,15
67,15
68,16
69,16
70,16
71,17
72,17
73,17
74,17
75,17
76,17
77,17
78,17
79,18
80,18
81,18
82,18
83,20
84,20
85,21
86,21
87,23
88,23
89,24
90,24
91,25
92,25
93,29
94,37
95,38
96,38
97,38
98,39
99,40
100,70
100,103
