no_instances,no_benders_iteration
0,0
1,3
2,6
3,6
4,6
5,6
6,6
7,6
8,7
9,7
10,7
11,7
12,8
13,8
14,8
15,8
16,8
17,9
18,9
19,9
20,9
21,9
22,9
23,9
24,9
25,9
26,9
27,10
28,10
29,10
30,10
31,10
32,10
33,10
34,10
35,10
36,10
37,10
38,11
39,11
40,11
41,11
42,11
43,11
44,11
45,11
46,12
47,12
48,12
49,12
50,12
51,12
52,12
53,12
54,12
55,12
56,12
57,12
58,13
59,13
60,13
61,13
62,13
63,13
64,13
65,13
66,13
67,13
68,14
69,14
70,14
71,14
72,15
73,15
74,15
75,17
76,17
77,17
78,18
79,19
80,19
81,19
82,19
83,19
84,20
85,21
86,21
87,21
88,22
89,22
90,22
91,22
92,22
93,23
94,23
95,23
96,25
97,25
98,35
99,38
100,41
100,42
