no_instances,no_benders_iteration
0,0
1,2
2,2
3,2
4,2
5,2
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,4
14,4
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
49,6
50,6
51,6
52,6
53,6
54,6
55,6
56,6
57,6
58,6
59,6
60,6
61,7
62,7
63,7
64,7
65,7
66,7
67,7
68,7
69,7
70,7
71,7
72,7
73,7
74,8
75,8
76,8
77,8
78,8
79,9
80,9
81,9
82,9
83,9
84,9
85,9
86,9
87,10
88,10
89,10
90,10
91,10
92,10
93,11
94,11
95,11
96,12
97,13
98,13
99,14
100,15
100,19
