no_instances,no_benders_iteration
0,0
1,3
2,5
3,5
4,6
5,6
6,7
7,7
8,7
9,7
10,8
11,8
12,8
13,8
14,8
15,8
16,8
17,8
18,8
19,8
20,9
21,9
22,9
23,9
24,9
25,9
26,9
27,9
28,9
29,10
30,10
31,10
32,10
33,10
34,10
35,10
36,10
37,10
38,11
39,11
40,11
41,11
42,11
43,11
44,11
45,11
46,11
47,12
48,12
49,12
50,12
51,12
52,12
53,12
54,12
55,12
56,12
57,13
58,13
59,13
60,13
61,13
62,13
63,13
64,13
65,13
66,13
67,14
68,14
69,15
70,15
71,15
72,15
73,16
74,16
75,16
76,16
77,17
78,18
79,18
80,18
81,18
82,19
83,19
84,19
85,20
86,20
87,21
88,21
89,21
90,22
91,23
92,24
93,24
94,25
95,26
96,27
97,29
98,29
99,33
100,38
100,42
