no_instances,no_benders_iteration
0,0
1,3
2,6
3,6
4,6
5,7
6,7
7,7
8,7
9,7
10,8
11,8
12,8
13,8
14,8
15,8
16,9
17,9
18,9
19,9
20,9
21,9
22,9
23,10
24,10
25,10
26,10
27,10
28,10
29,10
30,10
31,11
32,11
33,11
34,11
35,11
36,11
37,11
38,11
39,12
40,12
41,12
42,12
43,12
44,12
45,12
46,12
47,12
48,12
49,13
50,13
51,13
52,13
53,14
54,14
55,14
56,14
57,14
58,15
59,15
60,15
61,15
62,15
63,16
64,16
65,16
66,16
67,17
68,17
69,17
70,17
71,17
72,18
73,18
74,18
75,18
76,18
77,19
78,20
79,20
80,21
81,21
82,21
83,21
84,21
85,21
86,21
87,22
88,22
89,22
90,23
91,23
92,24
93,24
94,24
95,25
96,28
97,29
98,31
99,37
100,42
100,42
