no_instances,no_subproblems_performed
0,0
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,6
50,6
51,8
52,9
53,9
54,9
55,9
56,9
57,9
58,9
59,9
60,9
61,9
62,9
63,9
64,9
65,10
66,10
67,10
68,10
69,11
70,11
71,12
72,13
73,13
74,13
75,13
76,13
77,13
78,13
79,14
80,15
81,16
82,16
83,17
84,17
85,17
86,17
87,17
88,17
89,17
90,18
91,19
92,19
93,20
94,21
95,21
96,22
97,29
98,30
99,32
100,37
100,103
