no_instances,no_benders_iteration
0,0
1,8
2,9
3,12
4,12
5,12
6,12
7,13
8,13
9,13
10,14
11,14
12,14
13,14
14,14
15,15
16,16
17,16
18,16
19,16
20,16
21,17
22,18
23,18
24,19
25,20
26,20
27,20
28,21
29,21
30,21
31,24
32,24
33,24
34,25
35,25
36,25
37,25
38,25
39,25
40,26
41,26
42,26
43,27
44,27
45,27
46,27
47,27
48,28
49,28
50,28
51,29
52,30
53,30
54,30
55,31
56,31
57,31
58,31
59,32
60,33
61,34
62,34
63,35
64,36
65,37
66,38
67,38
68,42
69,43
70,43
71,46
72,46
73,48
74,48
75,48
76,48
77,49
78,51
79,56
80,60
81,61
82,63
83,65
84,66
85,69
86,69
87,74
88,76
89,78
90,81
91,106
92,107
93,114
94,120
95,123
96,146
97,174
98,228
99,311
100,408
100,553
